date,input_flow1,input_viscosity,dilute_dmf,SL_temp,SL_1st_flow,SL_2nd_flow,SL_3rd_flow,CDL_1st_temp,CDL_2nd_temp,CDL_3rd_temp,TOP_temp,vacuum,Luwa_amp,Stamo_amp,output_viscosity,total_flow,dilute_ratio
2019-03-04 15:00:00,1752.5284936,31.862366522000002,270.34137499999997,131.86968495000002,59.99943476000001,85.03032811700001,65.0,92.005724071,103.93368706999999,108.89869789,80.581417577,109.77858652,11.160141270999999,19.104501147,214.19998289999998,1752.5284936,6.482649922158605
2019-03-04 15:10:00,1749.7627954000004,31.842835519999994,270.40791896999997,131.87178634,60.0,84.956859041,65.0,92.0822659,103.74582534000001,108.9081418,80.56908476499999,109.86617944999998,11.240351128999999,19.104999983000003,214.69001239999997,1749.7627954000004,6.470826749693397
2019-03-04 15:20:00,1747.9647191,31.823304516000007,270.47446290000005,131.87388772,60.0,84.883389965,65.0,92.158807729,103.45666333,108.91758578999998,80.556751953,109.9227093,11.311668076,19.110835589,214.39538019999998,1747.9647191,6.462586894002849
2019-03-04 15:30:00,1748.9748815000003,31.803773510000003,270.54100689999996,131.87598911000003,60.0,84.814815024,65.0,92.235349557,103.59013568999998,108.9270297,80.544419142,110.153574,11.365321107,19.156649962999996,214.79019669999997,1748.9748815000003,6.46473117528713
2019-03-04 15:40:00,1749.4262248999999,31.784242510000002,270.60755086999995,131.87809049000003,60.0,84.80000305,65.0,92.31189138600001,103.73546115000002,108.93647367999999,80.532086328,110.00710946000001,11.441350394,19.165848650000004,214.69346659999997,1749.4262248999999,6.464809349464256
2019-03-04 15:50:00,1753.8186932,31.764711501,270.67409480000003,131.88019189,60.0,84.80000305,65.0,92.388433214,103.88078663000002,108.94591759999999,80.519753516,110.09720780999999,11.476481619000001,19.101666387,213.8553929,1753.8186932,6.4794478928465224
2019-03-04 16:00:00,1749.5311477999999,31.745180500000004,270.74063880000006,131.88229327,60.0,84.80285568100001,65.0,92.46497504300001,104.0261121,108.95536158,80.50742070499999,110.14319071,11.55483318,19.100000380000004,213.43057459999997,1749.5311477999999,6.462018984495354
2019-03-04 16:10:00,1752.2293944,31.725649494999992,270.80718277999995,131.88439465,60.0,84.927150771,65.0,92.541516871,104.05083161999998,108.96480549999998,80.495087893,110.10261528000001,11.628147487000001,19.104149978000002,214.46183050000002,1752.2293944,6.4703948263569036
2019-03-04 16:20:00,1749.7498025,31.706118489999994,270.8737267,131.88649604999998,60.0,84.80000305,65.0,92.61805869999999,103.95084002000002,108.97424948,80.48275508100001,109.97218088,11.711826907,19.138351001,215.1999091,1749.7498025,6.459651232391007
2019-03-04 16:30:00,1749.9446027999998,31.686587489000004,270.94027070000004,131.88859743,60.0,84.80000305,65.0,92.694600529,103.85083970999999,108.98369339999999,80.47042226800001,109.92701754,11.779048929,19.124166889,214.64014790000002,1749.9446027999998,6.458783695309859
2019-03-04 16:40:00,1748.5624291,31.667056480000003,271.00681469,131.89069880999995,60.0,84.80000305,65.0,92.771142356,103.80000659000002,108.99313738000001,80.45808945600001,110.02283252,11.846623197,19.111668925,213.82757569999998,1748.5624291,6.452097638578389
2019-03-04 16:50:00,1749.8847954999997,31.647525480000002,271.0733586,131.89280021,60.0,84.802641009,65.0,92.847684184,103.8000031,108.99898839,80.445756644,109.98909134,11.932843903999999,19.096164951000002,213.88481209999998,1749.8847954999997,6.455392018372991
2019-03-04 17:00:00,1749.6599902000003,31.627994472999994,271.1399026,131.89490159,60.0,85.031479265,65.0,92.924226013,103.79164829000001,108.99672529999998,80.433423833,109.97733851999999,11.984828103,19.083835151000002,213.3585884,1749.6599902000003,6.4529786041163835
2019-03-04 17:10:00,1749.2209817000003,31.608463470000004,271.46803325,131.89700298,60.0,85.01590139499999,65.0,92.999064285,103.64454344,108.99415355,80.42109101999999,110.06020600000002,12.089150751,19.110497500999998,214.1133455,1749.2209817000003,6.443561552196128
2019-03-04 17:20:00,1750.3475163999997,31.588932466999996,272.8844837,131.89909200999998,60.0,84.99416096499999,65.0,93.06408066599998,103.44818539999999,108.99158179999999,80.408758208,109.92051799999999,12.139684592999998,19.149733198,211.29238840000002,1750.3475163999997,6.414243465466775
